,fid,Address,Account Number,Meter Number,Route,Condition,Account_Number,geometry
24,25,2885 MARTHA BERRY HWY,010161,1490770430,68,Normal,,POINT Z (-85.175107421 34.305573817 0)
25,26,144 OLD SVILLE RD,010162,1490787378,68,Normal,,POINT Z (-85.174983058 34.30582074 0)
26,27,2915 MARTHA BERRY HWY,015468,1831077732,68,Normal,,POINT Z (-85.174856653 34.306043962 0)
27,28,167 OLD SVILLE RD,112520,1450108758,68,Normal,,POINT Z (-85.174826248 34.306667306 0)
28,29,2921 MARTHA BERRY HWY,010167,1471354564,68,Normal,,POINT Z (-85.17458836 34.306701062 0)
29,30,2921 MARTHA BERRY HWY,010168,1490784138,68,Normal,,POINT Z (-85.174587192 34.306686311 0)
30,31,203 OLD SVILLE RD,010169,1430263532,68,Normal,,POINT Z (-85.174619207 34.307226064 0)
31,32,2939 MARTHA BERRY HWY,010170,1450411998,68,Normal,,POINT Z (-85.174358214 34.307224705 0)
32,33,2965 MARTHA BERRY HWY,010171,1830918530,68,Normal,,POINT Z (-85.174245604 34.307803497 0)
33,34,261 OLD SVILLE RD,010172,1852488993,68,Normal,,POINT Z (-85.174377681 34.309196853 0)
34,35,270 OLD SVILLE RD,010173,1491089688,68,Normal,,POINT Z (-85.174187299 34.309423525 0)
35,36,277 OLD SVILLE RD,010174,1850671173,68,Normal,,POINT Z (-85.174345157 34.309683498 0)
36,37,260 OLD SVILLE RD,010175,1831079402,68,Normal,,POINT Z (-85.174168437 34.309701889 0)
37,38,260 OLD SVILLE RD,010176,1852666709,68,Normal,,POINT Z (-85.174169494 34.309703064 0)
38,39,300 OLD SVILLE RD,010178,1470396208,68,Normal,,POINT Z (-85.174122087 34.310552363 0)
39,40,309 OLD SVILLE RD,104180,1831875458,68,Normal,,POINT Z (-85.174280732 34.31068889 0)
40,41,311 OLD SVILLE RD,104181,1850274168,68,Normal,,POINT Z (-85.174276552 34.310692671 0)
41,42,330 OLD SVILLE RD,010179,1832533606,68,Normal,,POINT Z (-85.174116547 34.310996991 0)
42,43,341 OLD SVILLE RD,010180,1831877419,68,Normal,,POINT Z (-85.174283344 34.311370842 0)
43,44,341 OLD SVILLE RD,010181,1831654268,68,Normal,,POINT Z (-85.174274124 34.311377416 0)
44,45,351 OLD SVILLE RD,010182,1852306332,68,Normal,,POINT Z (-85.174269276 34.311540653 0)
45,46,360 OLD SVILLE RD,010184,1832237841,68,Normal,,POINT Z (-85.174102379 34.311944086 0)
46,47,376 OLD SVILLE RD,010185,1831653502,68,Normal,,POINT Z (-85.174143395 34.312357039 0)
47,48,396 OLD SVILLE RD,010186,1450413976,68,Normal,,POINT Z (-85.174256524 34.312879096 0)
48,49,410 OLD SVILLE RD,010187,1850671165,68,Normal,,POINT Z (-85.174313613 34.313303825 0)
49,50,420 OLD SVILLE RD,010188,1470533242,68,Normal,,POINT Z (-85.174360532 34.31355446 0)
50,51,502 OLD SVILLE RD,010189,1831641289,68,Normal,,POINT Z (-85.175095757 34.315764212 0)
51,52,510 OLD SVILLE RD,010190,1850635003,68,Normal,,POINT Z (-85.175163772 34.315931771 0)
52,53,520 OLD SVILLE RD,010191,1850634975,68,Normal,,POINT Z (-85.175321221 34.316225008 0)
53,54,517 OLD SVILLE RD,010192,1450415016,68,Normal,,POINT Z (-85.17543709 34.31618707 0)
54,55,531 OLD SVILLE RD,010193,1482341280,68,Normal,,POINT Z (-85.175509805 34.316371949 0)
55,56,532 OLD SVILLE RD,010194,1830674378,68,Normal,,POINT Z (-85.175412817 34.316475545 0)
56,57,546 OLD SVILLE RD,010195,1834523685,68,Normal,,POINT Z (-85.175580527 34.316863577 0)
57,58,547 OLD SVILLE RD,010196,1850532436,68,Normal,,POINT Z (-85.175812255 34.317029503 0)
58,59,556 OLD SVILLE RD,010197,1831081224,68,Normal,,POINT Z (-85.175702718 34.317115781 0)
59,60,566 OLD SVILLE RD,010198,1450411794,68,Normal,,POINT Z (-85.175834315 34.317430273 0)
60,61,566 OLD SVILLE RD,010198,1852645476,68,Normal,,POINT Z (-85.175826611 34.317429923 0)
61,62,573 OLD SVILLE RD,010199,1831641279,68,Normal,,POINT Z (-85.176008791 34.317522076 0)
62,63,574 OLD SVILLE RD,010200,1852489336,68,Normal,,POINT Z (-85.175951035 34.317719806 0)
63,64,590 OLD SVILLE RD,010202,1850605866,68,Normal,,POINT Z (-85.17611529 34.318088798 0)
64,65,4 HABERSHAM COURT,104979,1850634884,68,Normal,,POINT Z (-85.177101471 34.318256306 0)
65,66,2 HABERSHAM COURT,104306,1481693222,68,Normal,,POINT Z (-85.17680271 34.318250675 0)
66,67,2 HABERSHAM COURT,106048,1832308252,68,Normal,,POINT Z (-85.176801476 34.318251861 0)
67,68,6 HABERSHAM COURT,100176,1850237238,68,Normal,,POINT Z (-85.17710246 34.318257089 0)
68,69,8 HABERSHAM COURT,101923,1470699602,68,Normal,,POINT Z (-85.177724725 34.318259051 0)
69,70,10 HABERSHAM CT,102789,1834541393,68,Normal,,POINT Z (-85.177723376 34.318257833 0)
70,71,12 HABERSHAM COURT,102298,1830674421,68,Normal,,POINT Z (-85.17830786 34.318384787 0)
71,72,15 HABERSHAM COURT,103444,1832534557,68,Normal,,POINT Z (-85.178378165 34.31814773 0)
72,73,16 HABERSHAM COURT,104550,1831641316,68,Normal,,POINT Z (-85.178513593 34.318302006 0)
73,74,13 HABERSHAM COURT,103445,1470642808,68,Normal,,POINT Z (-85.178155968 34.318148057 0)
74,75,11 HABERSHAM COURT,103699,1853114593,68,Normal,,POINT Z (-85.177797177 34.318139975 0)
75,76,9 HABERSHAM COURT,104735,1471702516,68,Normal,,POINT Z (-85.177765043 34.318137972 0)
76,77,7 HABERSHAM ,102828,1470759958,68,Normal,,POINT Z (-85.177207039 34.318137459 0)
77,78,5 HABERSHAM COURT,103202,1850532621,68,Normal,,POINT Z (-85.177205415 34.318139755 0)
78,79,3 HABERSHAM COURT,100177,1850631324,68,Normal,,POINT Z (-85.176621681 34.3181318 0)
79,80,1 HABERSHAM CT,104779,1472019542,68,Normal,,POINT Z (-85.176614516 34.318132504 0)
80,81,608 OLD SVILLE RD,010203,1832236926,68,Normal,,POINT Z (-85.176263336 34.31846079 0)
81,82,620 OLD SVILLE RD,010204,1850635100,68,Normal,,POINT Z (-85.176446231 34.318919301 0)
82,83,645 OLD SVILLE RD,010205,1832594669,68,Normal,,POINT Z (-85.176767154 34.319260278 0)
83,84,643 OLD SVILLE RD,010206,1832598214,68,Normal,,POINT Z (-85.176803621 34.319329687 0)
84,85,646 OLD SVILLE RD,010207,1450414360,68,Normal,,POINT Z (-85.176688916 34.319457012 0)
85,86,665 OLD SVILLE RD,010208,1852978118,68,Normal,,POINT Z (-85.177054438 34.319908352 0)
86,87,679 OLD SVILLE RD,010209,1834039480,68,Normal,,POINT Z (-85.177177439 34.320173089 0)
87,88,670 OLD SVILLE RD,010210,1832306221,68,Normal,,POINT Z (-85.176793975 34.320263466 0)
88,89,692 OLD SVILLE RD,010212,1832534385,68,Normal,,POINT Z (-85.176346509 34.320295181 0)
89,90,690 OLD SVILLE RD,010213,1472013398,68,Normal,,POINT Z (-85.176230891 34.32029566 0)
90,91,688 OLD SVILLE RD,010214,1832534347,68,Normal,,POINT Z (-85.175861364 34.320282709 0)
91,92,686 OLD SVILLE RD,010215,1834524224,68,Normal,,POINT Z (-85.175867688 34.320277603 0)
92,93,682 OLD SVILLE RD,010217,1831649100,68,Normal,,POINT Z (-85.176109697 34.320397331 0)
93,94,680 OLD SVILLE RD,010218,1850237452,68,Normal,,POINT Z (-85.176422267 34.320399608 0)
94,95,678 OLD SVILLE RD,010219,1852478525,68,Normal,,POINT Z (-85.176528622 34.320405256 0)
95,96,676 OLD SVILLE RD,010220,1450414508,68,Normal,,POINT Z (-85.176840129 34.320408813 0)
96,97,674 OLD SVILLE RD,010221,1831877138,68,Normal,,POINT Z (-85.176849075 34.320406844 0)
97,98,698 OLD SVILLE RD,010223,1850536949,68,Normal,,POINT Z (-85.177283473 34.320772228 0)
98,99,2 SARAH ST,118200,1490603820,68,Normal,,POINT Z (-85.177488944 34.321861775 0)
99,100,4 SARAH ST,118202,1490604806,68,Normal,,POINT Z (-85.177467152 34.3218697 0)
100,101,6 SARAH ST,118203,1490604610,68,Normal,,POINT Z (-85.177234558 34.321804969 0)
101,102,8 SARAH ST,118204,1490605356,68,Normal,,POINT Z (-85.177193904 34.321813717 0)
102,103,10 SARAH ST,118205,1490569668,68,Normal,,POINT Z (-85.177067383 34.321892537 0)
103,104,9 SARAH ST,114133,1830670791,68,Normal,,POINT Z (-85.177120982 34.322062853 0)
104,105,12 SARAH ST,118206,1490604792,68,Normal,,POINT Z (-85.177061084 34.321907903 0)
105,106,11 SARAH ST,114134,1852457128,68,Normal,,POINT Z (-85.17711954 34.322065256 0)
106,107,702 OLD SVILLE RD,010227,1831641841,68,Normal,,POINT Z (-85.177367265 34.321030684 0)
107,108,711 OLD SVILLE RD,010228,1852278205,68,Normal,,POINT Z (-85.177445473 34.320802971 0)
108,109,716 OLD SVILLE RD,010230,1490676240,68,Normal,,POINT Z (-85.177436713 34.32120808 0)
109,110,724 OLD SVILLE RD,010231,1850632896,68,Normal,,POINT Z (-85.177640264 34.321605525 0)
110,111,19 CCC RD,010236,1850633922,68,Normal,,POINT Z (-85.178479255 34.322902926 0)
111,112,790 OLD SVILLE RD,010237,1471738588,68,Normal,,POINT Z (-85.178381748 34.323179006 0)
112,113,36 CCC RD,010239,1490542254,68,Normal,,POINT Z (-85.178768967 34.323666891 0)
113,114,820 OLD SVILLE RD,010241,1471713882,68,Normal,,POINT Z (-85.178649729 34.323755941 0)
114,115,8 SUMMER STONE DR,010242,1852277112,68,Normal,,POINT Z (-85.176864933 34.323981439 0)
115,116,8 SUMMER STONE DR,010243,1482109072,68,Normal,,POINT Z (-85.176863654 34.323981199 0)
116,117,8 SUMMER STONE DR,010244,1852967628,68,Normal,,POINT Z (-85.176856522 34.323976945 0)
117,118,8 SUMMER STONE DR,010245,1853094539,68,Normal,,POINT Z (-85.176856165 34.323981327 0)
118,119,0 SUMMER STONE DR,010246,95227952,68,Normal,,POINT Z (-85.176849432 34.323971507 0)
119,120,10 SUMMERSTONE DR NW,010247,1832238976,68,Normal,,POINT Z (-85.176837633 34.323979465 0)
120,121,10 SUMMER STONE DR,010248,1831081341,68,Normal,,POINT Z (-85.176834414 34.323979951 0)
121,122,10 SUMMER STONE DR,010249,1834538594,68,Normal,,POINT Z (-85.17683192 34.323978661 0)
122,123,10 SUMMER STONE DR,010250,1482109736,68,Normal,,POINT Z (-85.176826813 34.32397631 0)
123,124,12 SUMMER STONE DR,010251,1834523624,68,Normal,,POINT Z (-85.175964386 34.323969521 0)
124,125,12 SUMMERSTONE DR NW,010252,1450369124,68,Normal,,POINT Z (-85.175963848 34.323969161 0)
125,126,12 SUMMER STONE DR,010253,1850538292,68,Normal,,POINT Z (-85.175958063 34.323968437 0)
126,127,12 SUMMER STONE DR,010254,1831878062,68,Normal,,POINT Z (-85.175952245 34.323967011 0)
127,128,0 SUMMER STONE DR,010255,95998130,68,Normal,,POINT Z (-85.175947849 34.323958918 0)
128,129,14 SUMMER STONE DR,010256,1853094249,68,Normal,,POINT Z (-85.175936446 34.323969417 0)
129,130,14 SUMMER STONE DR,010257,1831124467,68,Normal,,POINT Z (-85.175930848 34.323969191 0)
130,131,14 SUMMER STONE DR,010258,1831847085,68,Normal,,POINT Z (-85.175929324 34.323967835 0)
131,132,14 SUMMER STONE DR,010259,1850536940,68,Normal,,POINT Z (-85.17592985 34.32396769 0)
132,133,16 SUMMER STONE DR,010262,1831877372,68,Normal,,POINT Z (-85.175676141 34.324144146 0)
133,134,16 SUMMER STONE DR,010263,1832505308,68,Normal,,POINT Z (-85.175671035 34.324140117 0)
134,135,16 SUMMER STONE DR,010264,1832505154,68,Normal,,POINT Z (-85.175660787 34.324140575 0)
135,136,11 SUMMER STONE DR,010265,1831846658,68,Normal,,POINT Z (-85.176291677 34.324118811 0)
136,137,11 SUMMER STONE DR,010266,1450365472,68,Normal,,POINT Z (-85.17630224 34.324119237 0)
137,138,11 SUMMER STONE DR,010267,1831877159,68,Normal,,POINT Z (-85.176304371 34.324121751 0)
138,139,9 SUMMER STONE DR,010270,1831641493,68,Normal,,POINT Z (-85.176763028 34.324116103 0)
139,140,9 SUMMER STONE DR,010271,1832196220,68,Normal,,POINT Z (-85.176767223 34.324113384 0)
140,141,9 SUMMER STONE DR,010272,1850604084,68,Normal,,POINT Z (-85.176771585 34.324112601 0)
141,142,9 SUMMER STONE DR,010273,1450370188,68,Normal,,POINT Z (-85.176776825 34.324119129 0)
142,143,0 SUMMER STONE DR,010274,95558061,68,Normal,,POINT Z (-85.176775533 34.324119029 0)
143,144,7 SUMMER STONE DR,010275,1850632697,68,Normal,,POINT Z (-85.176782882 34.324115518 0)
144,145,7 SUMMER STONE DR,010276,1852547621,68,Normal,,POINT Z (-85.176785195 34.32411457 0)
145,146,7 SUMMER STONE DR,010277,1834529650,68,Normal,,POINT Z (-85.176791857 34.324117891 0)
146,147,7 SUMMER STONE DR,010278,1850634326,68,Normal,,POINT Z (-85.176791599 34.324112271 0)
147,148,854 OLD SVILLE RD,010279,1831079202,68,Normal,,POINT Z (-85.179143055 34.324842529 0)
148,149,876 OLD SVILLE RD,010280,1450570268,68,Normal,,POINT Z (-85.179366405 34.325389864 0)
149,150,873 OLD SVILLE RD,010281,1831846661,68,Normal,,POINT Z (-85.179518074 34.325360742 0)
150,151,883 OLD SVILLE RD,010282,1450519828,68,Normal,,POINT Z (-85.179619096 34.325548553 0)
151,152,883 OLD SVILLE RD,010283,1450567304,68,Normal,,POINT Z (-85.17961081 34.325578848 0)
152,153,894 OLD SVILLE RD,010284,1831079174,68,Normal,,POINT Z (-85.179552247 34.325777166 0)
153,154,902 OLD SVILLE RD,010285,1831877349,68,Normal,,POINT Z (-85.179637344 34.325947641 0)
154,155,893 OLD SVILLE RD,010287,1834525637,68,Normal,,POINT Z (-85.179788068 34.325983672 0)
155,156,893 OLD SVILLE RD,010286,1834523716,68,Normal,,POINT Z (-85.179779157 34.325984364 0)
156,157,903 OLD SVILLE RD,010288,1471715278,68,Normal,,POINT Z (-85.179803574 34.326021265 0)
157,158,903 OLD SVILLE RD,010289,1482341726,68,Normal,,POINT Z (-85.17980224 34.326024958 0)
158,159,904 OLD SVILLE RD,010290,1471698562,68,Normal,,POINT Z (-85.179676603 34.326075737 0)
159,160,913 OLD SVILLE RD,010292,1831648371,68,Normal,,POINT Z (-85.180015319 34.32654866 0)
160,161,913 OLD SVILLE RD,010293,1831877844,68,Normal,,POINT Z (-85.180016272 34.326550563 0)
161,162,923 OLD SVILLE RD,010295,1831846399,68,Normal,,POINT Z (-85.180127617 34.326781766 0)
162,163,938 OLD SVILLE RD,010296,1832530115,68,Normal,,POINT Z (-85.179640573 34.326869471 0)
163,164,206 LINDSEY RD NW,010297,1831648155,68,Normal,,POINT Z (-85.17935295 34.326877139 0)
164,165,200 LINDSEY RD NW,010298,1852461195,68,Normal,,POINT Z (-85.179232328 34.326850864 0)
165,166,191 LINDSEY RD NW,010299,1831077038,68,Normal,,POINT Z (-85.178662404 34.326788629 0)
166,167,186 LINDSEY RD NW,010300,1831678835,68,Normal,,POINT Z (-85.178634802 34.32690576 0)
167,168,178 LINDSEY RD,015469,1852478507,68,Normal,,POINT Z (-85.178387172 34.326857306 0)
168,169,145 LINDSEY RD NW,010303,1850431705,68,Normal,,POINT Z (-85.176976796 34.326761824 0)
169,170,127 LINDSEY RD NW,119369,1490655556,68,Normal,,POINT Z (-85.176733435 34.32675622 0)
170,171,123 LINDSEY RD NW,010304,1852341860,68,Normal,,POINT Z (-85.176434417 34.326749235 0)
171,172,114 LINDSEY RD,114196,1831109045,68,Normal,,POINT Z (-85.176113082 34.326873269 0)
172,173,136 LINDSEY RD NW,010306,1850258141,68,Normal,,POINT Z (-85.177658874 34.326874305 0)
173,174,941 OLD SVILLE RD,010308,1105127373,68,Normal,,POINT Z (-85.180183046 34.326968588 0)
174,175,941 OLD SVILLE RD,010307,1831112184,68,Normal,,POINT Z (-85.180184323 34.326973222 0)
175,176,947 OLD SVILLE RD,010309,1450570272,68,Normal,,POINT Z (-85.180286217 34.327221293 0)
176,177,947 OLD SVILLE RD,010310,1450568644,68,Normal,,POINT Z (-85.180287441 34.327221255 0)
177,178,948 OLD SVILLE RD,010311,1470827396,68,Normal,,POINT Z (-85.180138197 34.327211009 0)
178,179,959 OLD SVILLE RD,010312,1470831494,68,Normal,,POINT Z (-85.180399539 34.327428786 0)
179,180,959 OLD SVILLE RD,010313,1850538820,68,Normal,,POINT Z (-85.180379662 34.32740853 0)
180,181,958 OLD SVILLE RD,010314,1481710772,68,Normal,,POINT Z (-85.180232009 34.327513364 0)
181,182,971 OLD SVILLE RD,010317,1491021834,68,Normal,,POINT Z (-85.180530913 34.327879862 0)
182,183,987 OLD SVILLE RD,010318,1470683232,68,Normal,,POINT Z (-85.18063682 34.328112489 0)
183,184,997 OLD SVILLE RD,010319,1470776488,68,Normal,,POINT Z (-85.180738901 34.328412991 0)
184,185,990 OLD SVILLE RD,010320,1852548274,68,Normal,,POINT Z (-85.180661588 34.328620148 0)
185,186,1002 OLD SVILLE RD,010321,1470683236,68,Normal,,POINT Z (-85.180703378 34.328745634 0)
186,187,1013 OLD SVILLE RD,010322,1470831492,68,Normal,,POINT Z (-85.180910792 34.328795745 0)
187,188,1012 OLD SVILLE RD,015470,1470888264,68,Normal,,POINT Z (-85.180789383 34.328962656 0)
188,189,1024 OLD SVILLE RD,010323,1470833192,68,Normal,,POINT Z (-85.180930284 34.32925838 0)
189,190,1037 OLD SVILLE RD,010324,1852457135,68,Normal,,POINT Z (-85.181138165 34.329568898 0)
190,191,1038 OLD SVILLE RD,010325,1470818320,68,Normal,,POINT Z (-85.181033352 34.329719823 0)
191,192,1049 OLD SVILLE RD,010326,1852306753,68,Normal,,POINT Z (-85.181230422 34.329842935 0)
192,193,1052 OLD SVILLE RD,010327,1852306440,68,Normal,,POINT Z (-85.181085714 34.329902161 0)
193,194,1056 OLD SVILLE RD,010330,1853094903,68,Normal,,POINT Z (-85.180289838 34.330393621 0)
194,195,1056 OLD SVILLE RD,010331,1852272741,68,Normal,,POINT Z (-85.180281485 34.330394364 0)
195,196,1075 OLD SVILLE RD,010332,1850532433,68,Normal,,POINT Z (-85.18133457 34.330558755 0)
196,197,1084 OLD SVILLE RD,010333,1831641062,68,Normal,,POINT Z (-85.181222602 34.330803727 0)
197,198,1101 OLD SVILLE RD,010334,1470776238,68,Normal,,POINT Z (-85.1813576 34.331617203 0)
198,199,1120 OLD SVILLE RD,010335,1852976233,68,Normal,,POINT Z (-85.181217665 34.331856232 0)
199,200,1143 OLD SVILLE RD,010336,1470848914,68,Normal,,POINT Z (-85.181353305 34.332214795 0)
200,201,1181 OLD SVILLE RD,010338,1850538407,68,Normal,,POINT Z (-85.181340032 34.333178864 0)
201,202,1181 OLD SVILLE RD,120881,1481708256,68,Normal,,POINT Z (-85.181338866 34.333183237 0)
202,203,1184 OLD SVILLE RD,010339,1470721924,68,Normal,,POINT Z (-85.181179639 34.333574114 0)
203,204,1201 OLD SVILLE RD,010340,1481693212,68,Normal,,POINT Z (-85.181354297 34.334064546 0)
204,205,1219 OLD SVILLE RD,010342,1470779082,68,Normal,,POINT Z (-85.181335005 34.334525436 0)
205,1,32 BATTLE FARM,,1852490971,70,,,POINT Z (-85.1859650735818 34.3539065862949 0)
206,2,21 BATTLEFARMS RD,,1850671383,70,,,POINT Z (-85.1864958813908 34.3518658960316 0)
207,3,11 FARMVIEW CT,,1850680980,70,,,POINT Z (-85.1845650921961 34.3528590473216 0)
208,4,8 WHITETAIL RIDGE,,1852476341,70,,,POINT Z (-85.184999216586 34.3539409319313 0)
209,5,1 TROTTERS LN,,1852666509,70,,,POINT Z (-85.1860100715502 34.3515617488575 0)
210,6,15 FARMVIEW CT,,1852634768,70,,,POINT Z (-85.1840451198475 34.3529780130807 0)
211,7,34 WALKING HORSE DR,,1852639479,70,,,POINT Z (-85.1851296281779 34.35025844157 0)
212,8,217 HENNON DR,,1410197210,70,,,POINT Z (-85.1798593008978 34.3344923465625 0)
213,9,219 HENNON DR,,1850538637,70,,,POINT Z (-85.1798291499595 34.3345109855102 0)
214,10,221 HENNON DR,,1831761342,70,,,POINT Z (-85.1792165430988 34.3344781396505 0)
215,11,195 HENNON DR,,1430085420,70,,,POINT Z (-85.1789203350812 34.3344586288761 0)
216,12,187 HENNON DR,,1852662936,70,,,POINT Z (-85.1785943133831 34.3344678433425 0)
217,13,177 HENNON DRIVE,,1832241302,70,,,POINT Z (-85.178189380622 34.3344712872402 0)
218,14,165 HENNON DR,,1852490059,70,,,POINT Z (-85.177903811098 34.3344400736396 0)
219,15,151 HENNON DR,,1410167700,70,,,POINT Z (-85.1775681839401 34.334506177824 0)
220,16,131 HENNON DR,,1472019538,70,,,POINT Z (-85.1767900951914 34.3345640088885 0)
221,17,119 HENNON DR,,1853085807,70,,,POINT Z (-85.1763711579292 34.3346113378574 0)
222,18,103 HENNON DR,,1410185712,70,,,POINT Z (-85.1759068725229 34.3346667104172 0)
223,19,79 HENNON DR,,1852486777,70,,,POINT Z (-85.1751157395469 34.3347337072051 0)
224,20,71 HENNON DR,,1410185762,70,,,POINT Z (-85.1747068238959 34.3347753065601 0)
225,21,63 HENNON DR,,1410186998,70,,,POINT Z (-85.1745817310185 34.3347969519127 0)
226,22,63 HENNON DR,,1410187048,70,,,POINT Z (-85.1744715620207 34.334804539738 0)
227,23,47 HENNON DR,,1410167710,70,,,POINT Z (-85.1741013182181 34.334853577036 0)
228,24,41 HENNON DR,,1850634800,70,,,POINT Z (-85.1738256844348 34.3348856655339 0)
229,25,3971 MARTHA BERRY,,1830510232,70,,,POINT Z (-85.1733939610454 34.3349411921307 0)
230,26,34 HENNON DR,,1852277553,70,,,POINT Z (-85.1734818988365 34.3350067294291 0)
231,27,42 HENNON DR,,1852390107,70,,,POINT Z (-85.1737741118382 34.3349741330036 0)
232,28,62 HENNON DR,,1410197704,70,,,POINT Z (-85.1746405342566 34.3348927952644 0)
233,29,72 HENNON DR,,1852389450,70,,,POINT Z (-85.1749192093701 34.334853037807 0)
234,30,82 HENNON DR,,1852463077,70,,,POINT Z (-85.1750113431085 34.334846497664 0)
235,31,80 HENNON DR,,1481698070,70,,,POINT Z (-85.1752662251987 34.3348366965337 0)
236,32,80 HENNON DR,,1540829588,70,,,POINT Z (-85.1752517616751 34.3348471723829 0)
237,33,108 HENNON DR,,1410187052,70,,,POINT Z (-85.1760395474598 34.334752519876 0)
238,34,120 HENNON DR,,1850422914,70,,,POINT Z (-85.1760390335824 34.3347495855515 0)
239,35,120 HENNON DR,,1471502030,70,,,POINT Z (-85.1762100415964 34.334721295653 0)
240,36,120 HENNON DR,,1831648373,70,,,POINT Z (-85.1762131313818 34.3347187482747 0)
241,37,120 HENNON DR,,1832231954,70,,,POINT Z (-85.1764764356071 34.3347058828563 0)
242,38,120 HENNON DR,,1831074367,70,,,POINT Z (-85.1764735466131 34.3347072503168 0)
243,39,138 HENNON DR,,1850235969,70,,,POINT Z (-85.1769897522973 34.3346481478685 0)
244,40,152 HENNON DR,,1852353046,70,,,POINT Z (-85.1775255354445 34.3345984188051 0)
245,41,158 HENNON DR,,1410186416,70,,,POINT Z (-85.1777598789063 34.334607075356 0)
246,42,158 HENNON DR,,1410186444,70,,,POINT Z (-85.1777628176044 34.3346071196419 0)
247,43,158 HENNON DR,,1410187050,70,,,POINT Z (-85.1777641717558 34.3346051187741 0)
248,44,158 HENNON DR,,1410195716,70,,,POINT Z (-85.1777636920277 34.3345983111657 0)
249,45,158 HENNON DR,,1852278230,70,,,POINT Z (-85.1777773590898 34.334610849991 0)
250,46,158 HENNON DR,,1430084962,70,,,POINT Z (-85.1777639530645 34.3345949080233 0)
251,47,158 HENNON DR,,1430096370,70,,,POINT Z (-85.1777633293002 34.3345961311059 0)
252,48,158 HENNON DR,,1831647587,70,,,POINT Z (-85.1777601350911 34.3345926685179 0)
253,49,160 HENNON DR,,1410186480,70,,,POINT Z (-85.1781156312923 34.3345811692161 0)
254,50,160 HENNON DR,,1410195770,70,,,POINT Z (-85.1781115547897 34.3345772197859 0)
255,51,160 HENNON DR,,1430082946,70,,,POINT Z (-85.1781102144163 34.3345765551641 0)
256,52,160 HENNON DR,,1430081196,70,,,POINT Z (-85.1781149178952 34.3345761225116 0)
257,53,160 HENNON DR NW,,1430076674,70,,,POINT Z (-85.1781223032113 34.3345663551635 0)
258,54,160 HENNON DR,,1430084324,70,,,POINT Z (-85.1781168885594 34.3345764162185 0)
259,55,160 HENNON DR,,1430094030,70,,,POINT Z (-85.1781173215088 34.3345784228 0)
260,56,160 HENNON DR,,1430095386,70,,,POINT Z (-85.1781181216072 34.3345780660084 0)
261,57,170 HENNON DR,,1430080782,70,,,POINT Z (-85.1781602489346 34.3345876023014 0)
